species,n.ind,sp.name,gen.name,fam.name
Abarema sp.,1,Abarema,Abarema,Fabaceae
Abutilon eremitopetalum,1,Abutilon eremitopetalum,Abutilon,Malvaceae
Abutilon menziesii,30,Abutilon menziesii,Abutilon,Malvaceae
Acacia nilotica subsp. tomentosa,1,Vachellia nilotica tomentosa,Vachellia,Fabaceae
Acacia koa,10,Acacia koa,Acacia,Fabaceae
Acacia koaia,1502,Acacia koaia,Acacia,Fabaceae
Acalypha amentacea subsp. wilkesiana,14,Acalypha wilkesiana,Acalypha,Euphorbiaceae
Acalypha hispida,1,Acalypha hispida,Acalypha,Euphorbiaceae
Achyranthes splendens var. splendens,2,Achyranthes,Achyranthes,splendens
Achyranthes splendens var. rotundata,9,Achyranthes splendens,Achyranthes,Amaranthaceae
Achyranthes splendens,9,Achyranthes splendens,Achyranthes,Amaranthaceae
Achyranthes mutica,11,Achyranthes mutica,Achyranthes,Amaranthaceae
Acoelorrhaphe wrightii,8,Acoelorrhaphe wrightii,Acoelorrhaphe,Arecaceae
Acrocarpus fraxinifolius,1,Acrocarpus fraxinifolius,Acrocarpus,Fabaceae
Acrostichum danaeifolium,1,Acrostichum danaeifolium,Acrostichum,Pteridaceae
Actinokentia divaricata,6,Actinokentia divaricata,Actinokentia,Arecaceae
Actinorhytis calapparia,1,Actinorhytis calapparia,Actinorhytis,Arecaceae
Adansonia fony var. rubrostipa,1,Adansonia fony var. rubrostipa,Adansonia,Malvaceae
Adansonia gregorii,1,Adansonia gregorii,Adansonia,Malvaceae
Adansonia madagascariensis,2,Adansonia madagascariensis,Adansonia,Malvaceae
Adansonia sp.,2,Adansonia,Adansonia,Malvaceae
Adansonia za,3,Adansonia za,Adansonia,Malvaceae
Adansonia digitata,4,Adansonia digitata,Adansonia,Malvaceae
Adansonia grandidieri,4,Adansonia grandidieri,Adansonia,Malvaceae
Adenanthera pavonina,4,Adenanthera pavonina,Adenanthera,Fabaceae
Adenium obesum,1,Adenium obesum,Adenium,Apocynaceae
Adenium sp.,1,Adenium,Adenium,Apocynaceae
Adiantum hispidulum var. pubescens,2,Adiantum hispidulum,Adiantum,Pteridaceae
Adiantum peruvianum,1,Adiantum peruvianum,Adiantum,Pteridaceae
Adiantum sp.,1,Adiantum,Adiantum,Pteridaceae
Adiantum trapeziforme,1,Adiantum trapeziforme,Adiantum,Pteridaceae
Adonidia merrillii,38,Adonidia merrillii,Adonidia,Arecaceae
Aechmea aquilega,1,Aechmea aquilega,Aechmea,Bromeliaceae
Aechmea blanchetiana,1,Aechmea blanchetiana,Aechmea,Bromeliaceae
Aechmea bromeliifolia,1,Aechmea bromeliifolia,Aechmea,Bromeliaceae
Aechmea fulgens,1,Aechmea fulgens,Aechmea,Bromeliaceae
Aechmea mulfordii,1,Aechmea mulfordii,Aechmea,Bromeliaceae
Aechmea penduliflora,1,Aechmea penduliflora,Aechmea,Bromeliaceae
Aechmea pectinata,3,Aechmea pectinata,Aechmea,Bromeliaceae
Aechmea lueddemanniana,4,Aechmea lueddemanniana,Aechmea,Bromeliaceae
Aechmea nudicaulis,4,Aechmea nudicaulis,Aechmea,Bromeliaceae
Aechmea fasciata,5,Aechmea fasciata,Aechmea,Bromeliaceae
Aechmea sp.,8,Aechmea,Aechmea,Bromeliaceae
Aechmea hybrid,18,Aechmea,Aechmea,Bromeliaceae
Aegle marmelos,2,Aegle marmelos,Aegle,Rutaceae
Aerides crassifolium,1,Aerides crassifolium,Aerides,Orchidaceae
Aerides lawrenceae,1,Aerides lawrenceae,Aerides,Orchidaceae
Aerides multiflora,1,Aerides multiflora,Aerides,Orchidaceae
Aerides sp.,1,Aerides,Aerides,Orchidaceae
Aerides odorata,3,Aerides odorata,Aerides,Orchidaceae
Afrocarpus falcatus,3,Afrocarpus falcatus,Afrocarpus,Podocarpaceae
Afrocarpus gracilior,7,Afrocarpus gracilior,Afrocarpus,Podocarpaceae
Agathis australis,1,Agathis australis,Agathis,Araucariaceae
Agathis macrophylla,1,Agathis macrophylla,Agathis,Araucariaceae
Agathis robusta,4,Agathis robusta,Agathis,Araucariaceae
Agave polyacantha var. xalapensis,2,Agave obscura,Agave,Asparagaceae
Agave cocui,1,Agave cocui,Agave,Asparagaceae
Agave guiengola,1,Agave guiengola,Agave,Asparagaceae
Agave attenuata,2,Agave attenuata,Agave,Asparagaceae
Agave geminiflora,8,Agave geminiflora,Agave,Asparagaceae
Agave bracteosa,10,Agave bracteosa,Agave,Asparagaceae
Aglaia mariannensis,1,Aglaia mariannensis,Aglaia,Meliaceae
Aglaia odorata,1,Aglaia odorata,Aglaia,Meliaceae
Aglaia saltatorum,1,Aglaia saltatorum,Aglaia,Meliaceae
Aglaomorpha sp.,1,Aglaomorpha,Aglaomorpha,Polypodiaceae
Aidia cochinchinensis,4,Aidia cochinchinensis,Aidia,Rubiaceae
Aiphanes horrida,1,Aiphanes horrida,Aiphanes,Arecaceae
Aiphanes lindeniana,1,Aiphanes lindeniana,Aiphanes,Arecaceae
Aiphanes minima,3,Aiphanes minima,Aiphanes,Arecaceae
Albizia niopoides,1,Albizia niopoides,Albizia,Fabaceae
Albizia tanganyicensis,1,Albizia tanganyicensis,Albizia,Fabaceae
Albizia zygia,1,Albizia zygia,Albizia,Fabaceae
Alcantarea imperialis,3,Vriesea imperialis,Vriesea,Bromeliaceae
Alectryon macrococcus var. macrococcus,6,Alectryon macrococcus var. macrococcus,Alectryon,Sapindaceae
Aleurites moluccana,5,Aleurites moluccana,Aleurites,
Alibertia patinoi,5,Alibertia patinoi,Alibertia,Rubiaceae
Allamanda cathartica,3,Allamanda cathartica,Allamanda,Apocynaceae
Allocasuarina paludosa,1,Allocasuarina paludosa,Allocasuarina,Casuarinaceae
Allophylus timoriensis,2,Allophylus timoriensis,Allophylus,Sapindaceae
Allophylus cobbe,4,Allophylus cobbe,Allophylus,Sapindaceae
Alluaudia comosa,1,Alluaudia comosa,Alluaudia,Didiereaceae
Alluaudia humbertii,1,Alluaudia humbertii,Alluaudia,Didiereaceae
Alluaudia procera,2,Alluaudia procera,Alluaudia,Didiereaceae
Alocasia micholitziana,1,Alocasia micholitziana,Alocasia,Araceae
Alocasia portei,2,Alocasia portei,Alocasia,Araceae
Alocasia sp.,2,Alocasia,Alocasia,Araceae
Alocasia zebrina,4,Alocasia zebrina,Alocasia,Araceae
Alocasia brancifolia,5,Alocasia brancifolia,Alocasia,Araceae
Alocasia cucullata,5,Alocasia cucullata,Alocasia,Araceae
Alocasia lancifolia,7,Alocasia lancifolia,Alocasia,Araceae
Alocasia lauterbachiana,7,Alocasia lauterbachiana,Alocasia,Araceae
Alocasia hybrid,16,Alocasia,Alocasia,Araceae
Alocasia macrorrhizos,16,Alocasia macrorrhizos,Alocasia,Araceae
Aloe bulbillifera var. paulinae,1,Aloe bulbillifera var. paulianae,Aloe,Xanthorrhoeaceae
Aloe ciliaris var. tidmarshii,8,Aloiampelos ciliaris var. tidmarshii,Aloiampelos,Xanthorrhoeaceae
Aloe barberae,1,Aloe barberae,Aloe,Xanthorrhoeaceae
Aloe lomatophylloides,1,Aloe lomatophylloides,Aloe,Xanthorrhoeaceae
Aloe purpurea,1,Aloe purpurea,Aloe,Xanthorrhoeaceae
Aloe ciliaris,2,Aloe ciliaris,Aloe,Xanthorrhoeaceae
Aloe dorotheae,2,Aloe dorotheae,Aloe,Xanthorrhoeaceae
Aloe vera,2,Aloe vera,Aloe,Xanthorrhoeaceae
Aloe sp.,4,Aloe,Aloe,Xanthorrhoeaceae
Aloe macra,5,Aloe macra,Aloe,Xanthorrhoeaceae
Aloe hybrid,7,Aloe,Aloe,Xanthorrhoeaceae
Aloysia citriodora,1,Aloysia citriodora,Aloysia,Verbenaceae
Aloysia virgata,5,Aloysia virgata,Aloysia,Verbenaceae
Alphitonia zizyphoides,1,Alphitonia zizyphoides,Alphitonia,Rhamnaceae
Alphitonia ponderosa,2,Alphitonia ponderosa,Alphitonia,Rhamnaceae
Alphitonia excelsa,3,Alphitonia excelsa,Alphitonia,Rhamnaceae
Alpinia boninsimensis,1,Alpinia boninsimensis,Alpinia,Zingiberaceae
Alpinia caerulea,1,Alpinia caerulea,Alpinia,Zingiberaceae
Alpinia haenkei,1,Alpinia haenkei,Alpinia,Zingiberaceae
Alpinia malaccensis,1,Alpinia malaccensis,Alpinia,Zingiberaceae
Alpinia oceanica,1,Alpinia oceanica,Alpinia,Zingiberaceae
Alpinia bilamellata,2,Alpinia bilamellata,Alpinia,Zingiberaceae
Alpinia foxworthyi,2,Alpinia foxworthyi,Alpinia,Zingiberaceae
Alpinia luteo-carpa,2,Alpinia luteo-carpa,Alpinia,Zingiberaceae
Alpinia nieuwenhuizii,2,Alpinia nieuwenhuizii,Alpinia,Zingiberaceae
Alpinia novae-pommeraniae,2,Alpinia novae-pommeraniae,Alpinia,Zingiberaceae
Alpinia carolinensis,3,Alpinia carolinensis,Alpinia,Zingiberaceae
Alpinia galanga,3,Alpinia galanga,Alpinia,Zingiberaceae
Alpinia hainanensis,3,Alpinia hainanensis,Alpinia,Zingiberaceae
Alpinia pubiflora,3,Alpinia pubiflora,Alpinia,Zingiberaceae
Alpinia latilabris,6,Alpinia latilabris,Alpinia,Zingiberaceae
Alpinia mutica,7,Alpinia mutica,Alpinia,Zingiberaceae
Alpinia zerumbet,7,Alpinia zerumbet,Alpinia,Zingiberaceae
Alpinia sp.,17,Alpinia,Alpinia,Zingiberaceae
Alpinia purpurata,23,Alpinia purpurata,Alpinia,Zingiberaceae
Alstonia macrophylla,1,Alstonia macrophylla,Alstonia,Apocynaceae
Alstonia scholaris,1,Alstonia scholaris,Alstonia,Apocynaceae
Alternanthera philoxeroides,1,Alternanthera philoxeroides,Alternanthera,Amaranthaceae
Alternanthera sp.,12,Alternanthera,Alternanthera,Amaranthaceae
Alyxia stellata,1868,Alyxia stellata,Alyxia,Apocynaceae
Amherstia nobilis,1,Amherstia nobilis,Amherstia,Fabaceae
Amorphophallus gigas,1,Amorphophallus gigas,Amorphophallus,Araceae
Amorphophallus lambii,3,Amorphophallus lambii,Amorphophallus,Araceae
Amorphophallus maxwellii,4,Amorphophallus maxwellii,Amorphophallus,Araceae
Amorphophallus titanum,4,Amorphophallus titanum,Amorphophallus,Araceae
Amphitecna latifolia,5,Amphitecna latifolia,Amphitecna,Bignoniaceae
