"","code","accession","latin","family","dry.mass.g","area.cm","lma.gm2","per.n","per.c","n15","c13"
"1","BA1","941044*C","Brosimum alicastrum","MORACEAE",356.666666666667,29.6523333333333,118.343991596667,2.78,44.6,4.85,-28.04
"2","BA2","60453*A","Brosimum alicastrum","MORACEAE",328.666666666667,29.1713333333333,112.749130033333,2.155,42.39,3.955,-29.345
"3","BA3","X.1-324*C","Brosimum alicastrum","MORACEAE",611.666666666667,44.0216666666667,137.288867,2.63,46.815,4.32,-26.955
"4","BAR1","2013-0815*A","Bulnesia arborea","ZYGOPHYLLACEAE",104.666666666667,11.4163333333333,89.9827254133333,3.4,51.9,7.62,-29.89
"5","BAR2","2011-0035*C","Bulnesia arborea","ZYGOPHYLLACEAE",314.666666666667,29.1246666666667,110.554450883333,3.05,48.85,5.6,-31.24
"6","BAR3","2011-0035*B","Bulnesia arborea","ZYGOPHYLLACEAE",209.333333333333,20.2766666666667,103.3319302,3.1,51.05,5.21,-29.17
"7","BS1","952136*A","Bursera simaruba","BURSERACEAE",140.333333333333,20.311,68.6382457266667,2.04,47.72,-0.58,-31.96
"8","BS2","Not Found","Bursera simaruba","BURSERACEAE",122,14.1016666666667,86.2158076766667,1.66,48.96,-0.94,-30.32
"9","BS3","Not Found","Bursera simaruba","BURSERACEAE",120.666666666667,12.4636666666667,95.1410763966667,1.62,49.165,-0.345,-30.26
"10","CA1","2003-0585*M","Callicarpa americana","LAMIACEAE",232.333333333333,32.0233333333333,72.00817572,2.45,50.24,5.4,-29.06
"11","CA2","2003-0584*Q","Callicarpa americana","LAMIACEAE",440.666666666667,84.4626666666667,52.7171653133333,NA,NA,NA,NA
"12","CA3","2003-0585*N","Callicarpa americana","LAMIACEAE",421.333333333333,59.1843333333333,71.1241475733333,NA,NA,NA,NA
"13","CG1","X.1-489*A","Couroupita guianensis","LECYTHIDACEAE",365.666666666667,77.5656666666667,47.1869101766667,4.85,47.77,4.52,-29.35
"14","CG2","2012-2128*A","Couroupita guianensis","LECYTHIDACEAE",342.333333333333,49.305,64.5096947066667,2.74,50.09,2.55,-30.61
"15","CG3","92213*B","Couroupita guianensis","LECYTHIDACEAE",208.666666666667,79.6596666666667,26.1430278466667,3.15,47.27,2.82,-31.5
"16","CP1","2001-0511*B","Ceiba pentandra","MALVACEAE",294.333333333333,30.8676666666667,93.9293940566667,2.37,45.98,4.12,-28.96
"17","CP2","2001-0511*A","Ceiba pentandra","MALVACEAE",575,54.5086666666667,105.17729357,2.26,48.55,4.47,-27.8
"18","CP3","991538*A","Ceiba pentandra","MALVACEAE",191.666666666667,28.3256666666667,66.5131577566667,2.49,46.73,4.54,-28.53
"19","DV1","2002-0180*E","Dodonaea viscosa","SAPINDACEAE",41.6666666666667,6.73666666666667,61.11295407,1.99,52.065,1.585,-29.885
"20","DV2","2002-0180*B","Dodonaea viscosa","SAPINDACEAE",46.3333333333333,7.38366666666667,62.8466213266667,2.13,50.13,2.2,-30.74
"21","DV3","2002-0180*C","Dodonaea viscosa","SAPINDACEAE",47,7.03433333333333,66.6269102366667,2.09,52,1.43,-30.79
"22","EC1","2007-0553*D","Enterolobium cyclocarpum","FABACEAE",163.333333333333,14.4873333333333,113.0908742,1.94,55.5,-0.08,-30.88
"23","EC2","2007-0553*A","Enterolobium cyclocarpum","FABACEAE",133.333333333333,15.4363333333333,86.8556527233333,2.92666666666667,49.83,10.08,-32.62
"24","EC3","2007-0553*B","Enterolobium cyclocarpum","FABACEAE",156.666666666667,14.7276666666667,106.865988733333,2.635,52.18,-0.065,-31.045
"25","EC4","2007-0553*C","Enterolobium cyclocarpum","FABACEAE",166,12.826,128.1746299,2.92,50.82,0.845,-30.295
"26","FB1","X.5-149*E","Ficus benghalensis","MORACEAE",2842.33333333333,107.497,268.147705266667,NA,NA,NA,NA
"27","FB2","X.2-364*A","Ficus benghalensis","MORACEAE",1675,164.465333333333,103.232800153333,1.63,45.4,1.54,-28.5
"28","HP1","90475*A","Hamelia patens","RUBIACEAE",173,43.324,39.6100721666667,4.05,45.365,6.46,-31.09
"29","HP2","961478*Q","Hamelia patens","RUBIACEAE",129.666666666667,26.7253333333333,50.39351107,3.68,47.12,4.75,-29.81
"30","HP3","961478*F","Hamelia patens","RUBIACEAE",142.333333333333,18.11,79.05480469,2.95,50.6,8.9,-28.83
"31","MC1","2011-0257*A","Myrica cerifera","MYRICACEAE",49,5.79466666666667,83.9276743,1.375,50.705,-1.81,-32.475
"32","PL1","85393*B","Polyalthia longifolia","ANNONACEAE",285.666666666667,35.0936666666667,81.40617974,2.76,52.07,4.98,-30.03
"33","PL2","85393*A","Polyalthia longifolia","ANNONACEAE",312.666666666667,48.7856666666667,64.0108117366667,3.21,50.92,2.95,-30.48
"34","PL3","85393*C","Polyalthia longifolia","ANNONACEAE",335.333333333333,62.2226666666667,52.5669796566667,3.095,50.54,3.92,-30.49
"35","PV1","2000511*G","Psychotria viridis","RUBIACEAE",170.666666666667,33.2193333333333,51.4090001866667,2.31,46.82,4.31,-30.835
"36","PV2","2000511*C","Psychotria viridis","RUBIACEAE",120.666666666667,25.7523333333333,47.3865013966667,2,47.55,3.59,-31.34
"37","PV3","2000511*B","Psychotria viridis","RUBIACEAE",144.666666666667,28.597,51.1384881166667,2.32,50.44,2.3,-29.9
"38","QV1","Not Found","Quercus virginiana","FAGACEAE",169,11.7636666666667,143.314091866667,1.985,52.575,1.52,-30.79
"39","QV2","94302*E","Quercus virginiana","FAGACEAE",192,12.9453333333333,149.286116766667,1.83,52.21,0.13,-30.11
"40","QV3","Not Found","Quercus virginiana","FAGACEAE",157.666666666667,10.2333333333333,154.527703966667,1.88,48.01,1.46,-28.43
"41","TD1","2006-1029*A","Taxodium distichum","TAXODIACEAE",44.3333333333333,3.014,147.026633266667,1.54,52.8,3.48,-28.23
"42","TI1","2004-0946*C","Tabebuia impetiginosa","BIGNONIACEAE",237.666666666667,40.4356666666667,60.6250678666667,2.81,52.85,3.05,-31.91
"43","TI2","2004-0946*E","Tabebuia impetiginosa","BIGNONIACEAE",370,44.5466666666667,83.3251148933333,2.505,48.785,3.225,-30.17
"44","TI3","Not Found","Tabebuia impetiginosa","BIGNONIACEAE",221,43.7493333333333,48.5001512166667,3.28,48.47,4,-32.52
"45","TJ1","9522*B","Trachelospermum jasminoides","APOCYNACEAE",101,11.599,87.0019418933333,2.12,43.14,3.405,-31.955
"46","TJ2","9522*C","Trachelospermum jasminoides","APOCYNACEAE",83.6666666666667,7.67466666666667,110.59834761,2.555,44.425,4.195,-31.055
"47","TJ3","9522*D","Trachelospermum jasminoides","APOCYNACEAE",55.3333333333333,8.23533333333333,69.4215820933333,2.885,44.91,4.895,-33.97
